stock,Random Forest,XGBoost,Log Regression,Score,bal,repair,npay,pct,yr,odo,mk_toyota,jointincome,netincome
203663,1.0,1.0,1.0,3.0,9336.8,2181.97,99,24.9,2013.0,153308.0,0,0,920
180921a,1.0,1.0,1.0,3.0,7268.89,0.0,96,24.9,2008.0,151307.0,0,0,0
200780,1.0,1.0,1.0,3.0,4124.02,287.11,83,24.9,2010.0,136894.0,0,0,0
202071,1.0,1.0,1.0,3.0,9894.48,503.0,120,24.9,2012.0,102244.0,0,2300,1955
200414,1.0,1.0,0.0,2.0,9446.68,1480.67,104,24.9,2014.0,98139.0,0,0,0
190240,1.0,1.0,0.0,2.0,7886.94,1134.96,99,24.9,2012.0,112834.0,0,3400,0
200820,1.0,1.0,0.0,2.0,9582.81,2361.5,112,24.9,2013.0,96550.0,0,0,2550
201493,1.0,1.0,0.0,2.0,12477.16,0.0,133,19.9,2014.0,77061.0,0,0,0
201434,1.0,1.0,0.0,2.0,9197.86,0.0,102,24.9,2013.0,113420.0,0,3198,0
201456,1.0,1.0,0.0,2.0,6920.37,75.46,96,24.9,2012.0,151537.0,0,2200,0
180766,1.0,1.0,0.0,2.0,7452.67,1617.03,121,24.9,2011.0,126752.0,0,0,0
180597,1.0,1.0,0.0,2.0,6163.94,1428.63,105,19.9,2010.0,105008.0,0,0,0
191245,1.0,1.0,0.0,2.0,5529.96,1437.13,117,9.9,2016.0,91134.0,0,0,0
181386,1.0,1.0,0.0,2.0,5264.1,1302.53,89,24.9,2009.0,146633.0,0,0,2400
190803,1.0,1.0,0.0,2.0,8660.46,0.0,106,24.9,2013.0,126991.0,0,0,0
190184,1.0,1.0,0.0,2.0,7506.09,1584.44,94,21.9,2014.0,56956.0,0,0,0
190657,1.0,0.0,1.0,2.0,6571.36,223.75,99,24.9,2008.0,167673.0,0,0,0
190513,1.0,0.0,1.0,2.0,9387.07,963.61,119,15.9,2010.0,105129.0,0,0,0
190123,1.0,0.0,1.0,2.0,7975.8,0.0,107,24.9,2009.0,123906.0,0,0,0
181221,1.0,0.0,1.0,2.0,5314.21,1403.07,85,21.9,2008.0,96690.0,0,0,0
201154,1.0,1.0,0.0,2.0,7567.4,1540.5,112,19.9,2013.0,124268.0,0,0,1500
190233,1.0,1.0,0.0,2.0,7473.55,1250.6,104,19.9,2011.0,124312.0,1,0,0
200520,1.0,1.0,0.0,2.0,10194.0,1545.23,108,24.9,2014.0,109077.0,0,0,0
201114,1.0,1.0,0.0,2.0,7831.39,0.0,95,24.9,2007.0,172106.0,0,0,0
202048,1.0,1.0,0.0,2.0,10763.27,2520.46,134,17.9,2015.0,134807.0,0,0,3665
201529,0.0,1.0,1.0,2.0,6949.98,0.0,94,21.9,2008.0,119276.0,0,2700,0
202692,1.0,1.0,0.0,2.0,12741.99,336.29,113,24.9,2015.0,83873.0,1,0,0
191274,1.0,1.0,0.0,2.0,6336.94,1211.93,96,24.9,2009.0,104343.0,1,0,0
190972,1.0,1.0,0.0,2.0,5844.41,2571.93,95,24.9,2008.0,163735.0,0,0,0
190875,1.0,0.0,1.0,2.0,5684.07,1644.43,98,24.9,2005.0,116259.0,0,0,0
202224,1.0,1.0,0.0,2.0,9289.14,931.49,112,19.9,2011.0,108518.0,0,0,3800
202150,1.0,1.0,0.0,2.0,11360.85,2285.16,125,24.9,2014.0,125986.0,0,0,0
202116,1.0,1.0,0.0,2.0,9400.41,0.0,115,24.9,2007.0,156380.0,0,0,0
190126,1.0,0.0,1.0,2.0,6715.13,1815.95,105,16.9,2016.0,98743.0,0,0,0
202018,1.0,1.0,0.0,2.0,13276.77,1917.12,121,19.9,2015.0,99532.0,0,0,1600
201926,1.0,1.0,0.0,2.0,10725.36,0.0,136,18.9,2015.0,81983.0,0,0,0
190552,1.0,0.0,1.0,2.0,11045.62,0.0,141,14.9,2012.0,92638.0,0,0,2500
190112,1.0,1.0,0.0,2.0,9960.08,2655.57,115,19.9,2016.0,52876.0,0,0,2100
